POSITION,DURATION,DATE,TIME
sitting, 2.54,2022-09-23,18:27:58
crossbar, 9.50,2022-09-23,18:28:08
sitting, 3.14,2022-09-23,18:28:11
crossbar, 1.37,2022-09-23,18:28:12
standing, 7.52,2022-09-23,18:28:20
