POSITION,DURATION,DATE,TIME
Pantani, 0.00,2022-09-25,21:44:00
TopTube, 2.12,2022-09-25,21:44:02
Pantani, 3.61,2022-09-25,21:44:06
TopTube, 1.56,2022-09-25,21:44:08
