POSITION,DURATION,DATE,TIME
sitting, 2.54,2022-09-23,17:36:30
standing, 6.45,2022-09-23,17:36:37
crossbar, 11.83,2022-09-23,17:36:48
sitting, 8.74,2022-09-23,17:36:57
crossbar, 0.86,2022-09-23,17:36:58
standing, 3.90,2022-09-23,17:37:02
crossbar, 1.12,2022-09-23,17:37:03
sitting, 7.56,2022-09-23,17:37:11
