POSITION,DURATION,DATE,TIME
TopTube, 1.01,2022-09-25,21:30:18
TopTube, 2.69,2022-09-25,21:30:21
TopTube, 2.77,2022-09-25,21:30:24
TopTube, 1.84,2022-09-25,21:30:26
TopTube, 3.08,2022-09-25,21:30:29
TopTube, 2.86,2022-09-25,21:30:32
TopTube, 3.77,2022-09-25,21:30:36
TopTube, 4.82,2022-09-25,21:30:41
