POSITION,DURATION,DATE,TIME
sitting, 2.54,2022-09-23,18:36:48
standing, 16.34,2022-09-23,18:37:04
crossbar, 7.51,2022-09-23,18:37:12
sitting, 3.40,2022-09-23,18:37:15
crossbar, 4.17,2022-09-23,18:37:19
